video_id,question_id,source_exam,category,hook,question,correct_answer,short_explanation,screenshot_unanswered,screenshot_revealed,cta,caption,hashtags
"sb01-013","se-16-03","16","rules","جوابش رو بلدی؟ 🤔","کدام یک ازموارد زیر ، مفهوم چراغ قرمز می باشد؟","این چراغ به معنی توقف می باشد و با دیدن آن باید پشت خط ایست","چراغ قرمز به معنای توقف است و راننده باید با دیدن آن پشت خط ایست به‌طور کامل توقف کند.","screenshots/se-16-03_unanswered.png","screenshots/se-16-03_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | کدام یک ازموارد زیر ، مفهوم چراغ قرمز می باشد؟ |  | ✅ پاسخ: این چراغ به معنی توقف می باشد و با دیدن آن باید پشت خط ایست |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-014","se-12-25","12","vehicle","درباره‌ی خودروت چقدر می‌دونی؟ 🔧","خودرو دیفرانسیل جلو است ینی چه؟","چرخ های جلو محرک هستند.","خودروی دیفرانسیل جلو یعنی نیروی موتور به چرخ‌های جلو منتقل می‌شود و چرخ‌های جلو محرک هستند.","screenshots/se-12-25_unanswered.png","screenshots/se-12-25_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","درباره‌ی خودروت چقدر می‌دونی؟ 🔧 |  | خودرو دیفرانسیل جلو است ینی چه؟ |  | ✅ پاسخ: چرخ های جلو محرک هستند. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو"
"sb01-015","se-09-05","9","signs","این تابلو رو می‌شناسی؟ 🚦","مفهوم این تابلو چیست؟","عبور سواری ممنوع","این تابلو «عبور سواری ممنوع» را اعلام می‌کند و تردد خودروهای سواری در آن مسیر مجاز نیست.","screenshots/se-09-05_unanswered.png","screenshots/se-09-05_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | مفهوم این تابلو چیست؟ |  | ✅ پاسخ: عبور سواری ممنوع |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-016","se-02-07","2","rules","جوابش رو بلدی؟ 🤔","ابطال گواهینامه به چه معناست؟","سلب اعتبار قانونی گواهینامه","ابطال گواهینامه یعنی سلب اعتبار قانونی آن؛ پس از ابطال، گواهینامه دیگر معتبر نیست و دارنده حق رانندگی ندارد.","screenshots/se-02-07_unanswered.png","screenshots/se-02-07_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | ابطال گواهینامه به چه معناست؟ |  | ✅ پاسخ: سلب اعتبار قانونی گواهینامه |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-017","se-07-03","7","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","شروع محل پیاده روی","این تابلو «شروع محل پیاده‌روی» را اعلام می‌کند؛ یعنی ابتدای مسیری که ویژهٔ تردد عابران پیاده است.","screenshots/se-07-03_unanswered.png","screenshots/se-07-03_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: شروع محل پیاده روی |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-018","se-13-11","13","rules","جوابش رو بلدی؟ 🤔","حمل مسافر در قسمت بار....؟","ممنوع است.","حمل مسافر در قسمت بار وسیلهٔ نقلیه ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","screenshots/se-13-11_unanswered.png","screenshots/se-13-11_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | حمل مسافر در قسمت بار....؟ |  | ✅ پاسخ: ممنوع است. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-019","se-03-04","3","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","خیابان اصلی","لوزی زرد با حاشیهٔ سفید، تابلوی «راه اصلی» (خیابان اصلی) است؛ یعنی در طول این مسیر حق تقدم با توست.","screenshots/se-03-04_unanswered.png","screenshots/se-03-04_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: خیابان اصلی |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-020","se-12-18","12","rules","جوابش رو بلدی؟ 🤔","تاثیرات مواد مخدر چیست؟","اعتماد به نفس کاذب-کاهش هوشیاری","مواد مخدر با ایجاد اعتماد به نفس کاذب و کاهش هوشیاری، توان تشخیص خطر و واکنش به‌موقع راننده را به‌شدت مختل می‌کنند.","screenshots/se-12-18_unanswered.png","screenshots/se-12-18_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | تاثیرات مواد مخدر چیست؟ |  | ✅ پاسخ: اعتماد به نفس کاذب-کاهش هوشیاری |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-021","se-14-09","14","signs","این تابلو رو می‌شناسی؟ 🚦","مفهوم این تابلو چیست؟","ایستگاه اتوبوس","این تابلو «ایستگاه اتوبوس» را نشان می‌دهد و محل توقف و سوار و پیاده شدن مسافران اتوبوس را مشخص می‌کند.","screenshots/se-14-09_unanswered.png","screenshots/se-14-09_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | مفهوم این تابلو چیست؟ |  | ✅ پاسخ: ایستگاه اتوبوس |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-022","se-17-17","17","rules","جوابش رو بلدی؟ 🤔","کدامیک از موارد زیر صحیح است؟","حمل مسافر در قسمت بار یا صندوق عقب ممنوع است.","حمل مسافر در قسمت بار یا صندوق عقب ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","screenshots/se-17-17_unanswered.png","screenshots/se-17-17_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | کدامیک از موارد زیر صحیح است؟ |  | ✅ پاسخ: حمل مسافر در قسمت بار یا صندوق عقب ممنوع است. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-023","se-02-06","2","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","تراکم ترافیک","تصویر چند خودرو پشت سر هم روی تابلوی مثلثی هشدار یعنی احتمال تراکم ترافیک در جلو؛ آمادهٔ کاهش سرعت باش.","screenshots/se-02-06_unanswered.png","screenshots/se-02-06_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: تراکم ترافیک |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-024","se-14-17","14","rules","جوابش رو بلدی؟ 🤔","درباره محل پارک خودرو کدام گزینه غلط است؟","پارک کردن مقابل درب ورودی ساختمان منازل مجاز است.","این گزینه غلط است؛ پارک کردن مقابل درب ورودی منازل مجاز نیست، زیرا مانع تردد و دسترسی ساکنان می‌شود.","screenshots/se-14-17_unanswered.png","screenshots/se-14-17_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | درباره محل پارک خودرو کدام گزینه غلط است؟ |  | ✅ پاسخ: پارک کردن مقابل درب ورودی ساختمان منازل مجاز است. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-025","se-11-05","11","signs","این تابلو رو می‌شناسی؟ 🚦","مفهوم این تابلو چیست؟","پارکینگ مخصوص افراد معلول","این تابلو «پارکینگ مخصوص افراد معلول» را نشان می‌دهد و این جایگاه ویژهٔ توقف خودروهای دارای معلولیت است.","screenshots/se-11-05_unanswered.png","screenshots/se-11-05_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | مفهوم این تابلو چیست؟ |  | ✅ پاسخ: پارکینگ مخصوص افراد معلول |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-026","se-07-21","7","rules","جوابش رو بلدی؟ 🤔","منظور از چرخ های محرک چیست؟","چرخ هایی هستند که خودرو را به حرکت در می آورند.","چرخ‌های محرک چرخ‌هایی هستند که نیروی موتور از طریق سیستم انتقال قدرت به آن‌ها می‌رسد و خودرو را به حرکت در می‌آورند.","screenshots/se-07-21_unanswered.png","screenshots/se-07-21_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | منظور از چرخ های محرک چیست؟ |  | ✅ پاسخ: چرخ هایی هستند که خودرو را به حرکت در می آورند. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-027","se-04-02","4","signs","این تابلو رو می‌شناسی؟ 🚦","عنوان این تابلو چیست؟","پل متحرک","این تابلوی هشدار رانندگان را از وجود پل متحرک در پیش رو آگاه می‌کند تا سرعت خود را کاهش دهند و آمادهٔ توقف باشند.","screenshots/se-04-02_unanswered.png","screenshots/se-04-02_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | عنوان این تابلو چیست؟ |  | ✅ پاسخ: پل متحرک |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-028","se-10-04","10","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","سرعت توصیه شده","این تابلو «سرعت توصیه‌شده» را نشان می‌دهد؛ یعنی سرعت مناسب پیشنهادی برای آن مسیر که جنبهٔ راهنمایی دارد نه الزام.","screenshots/se-10-04_unanswered.png","screenshots/se-10-04_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: سرعت توصیه شده |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-029","se-08-03","8","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","چاله","این تابلوی هشدار وجود «چاله» در سطح راه را اعلام می‌کند تا راننده سرعت را کاهش داده و از آسیب به خودرو جلوگیری کند.","screenshots/se-08-03_unanswered.png","screenshots/se-08-03_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: چاله |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-030","se-06-02","6","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","میدان","این تابلوی اخباری وجود «میدان» در پیش رو را اعلام می‌کند تا راننده برای کاهش سرعت و رعایت حق تقدم درون میدان آماده شود.","screenshots/se-06-02_unanswered.png","screenshots/se-06-02_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: میدان |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
